#1;Ludinghausen 1m Lufttemp 2017
#2;Source: CDC DWD #DWD Climate Data Center (CDC): Hourly station observations of soil temperature at the depth of 100cm in
#°C for Germany, version v18.1 & recent
# Zeit [s];T[K]
double default(8761,2);
2084400;278.05
2088000;278.05
2091600;278.05
2095200;278.05
2098800;278.05
2102400;278.05
2106000;277.95
2109600;277.95
2113200;277.95
2116800;277.95
2120400;277.95
2124000;277.95
2127600;277.95
2131200;277.95
2134800;277.95
2138400;277.95
2142000;277.95
2145600;277.95
2149200;277.95
2152800;277.95
2156400;277.95
2160000;277.95
2163600;277.95
2167200;277.95
2170800;277.95
2174400;277.95
2178000;277.95
2181600;277.95
2185200;277.95
2188800;277.95
2192400;277.95
2196000;277.85
2199600;277.85
2203200;277.85
2206800;277.85
2210400;277.85
2214000;277.85
2217600;277.85
2221200;277.85
2224800;277.85
2228400;277.85
2232000;277.85
2235600;277.85
2239200;277.85
2242800;277.85
2246400;277.85
2250000;277.85
2253600;277.85
2257200;277.85
2260800;277.85
2264400;277.85
2268000;277.85
2271600;277.85
2275200;277.85
2278800;277.85
2282400;277.85
2286000;277.85
2289600;277.85
2293200;277.75
2296800;277.75
2300400;277.75
2304000;277.75
2307600;277.75
2311200;277.75
2314800;277.75
2318400;277.75
2322000;277.75
2325600;277.75
2329200;277.75
2332800;277.75
2336400;277.75
2340000;277.75
2343600;277.75
2347200;277.75
2350800;277.75
2354400;277.75
2358000;277.75
2361600;277.75
2365200;277.75
2368800;277.75
2372400;277.75
2376000;277.75
2379600;277.75
2383200;277.65
2386800;277.65
2390400;277.65
2394000;277.65
2397600;277.65
2401200;277.65
2404800;277.65
2408400;277.65
2412000;277.65
2415600;277.65
2419200;277.65
2422800;277.65
2426400;277.65
2430000;277.65
2433600;277.65
2437200;277.65
2440800;277.65
2444400;277.65
2448000;277.65
2451600;277.65
2455200;277.65
2458800;277.65
2462400;277.65
2466000;277.65
2469600;277.65
2473200;277.65
2476800;277.65
2480400;277.65
2484000;277.55
2487600;277.55
2491200;277.55
2494800;277.55
2498400;277.55
2502000;277.55
2505600;277.55
2509200;277.55
2512800;277.55
2516400;277.55
2520000;277.55
2523600;277.55
2527200;277.55
2530800;277.55
2534400;277.55
2538000;277.55
2541600;277.55
2545200;277.55
2548800;277.55
2552400;277.55
2556000;277.55
2559600;277.55
2563200;277.55
2566800;277.55
2570400;277.55
2574000;277.55
2577600;277.55
2581200;277.55
2584800;277.55
2588400;277.55
2592000;277.55
2595600;277.55
2599200;277.55
2602800;277.55
2606400;277.45
2610000;277.45
2613600;277.45
2617200;277.45
2620800;277.45
2624400;277.45
2628000;277.45
2631600;277.45
2635200;277.45
2638800;277.45
2642400;277.45
2646000;277.45
2649600;277.45
2653200;277.45
2656800;277.45
2660400;277.45
2664000;277.45
2667600;277.45
2671200;277.45
2674800;277.45
2678400;277.45
2682000;277.45
2685600;277.45
2689200;277.45
2692800;277.45
2696400;277.45
2700000;277.45
2703600;277.45
2707200;277.45
2710800;277.45
2714400;277.45
2718000;277.45
2721600;277.45
2725200;277.45
2728800;277.45
2732400;277.45
2736000;277.45
2739600;277.45
2743200;277.45
2746800;277.45
2750400;277.45
2754000;277.45
2757600;277.45
2761200;277.45
2764800;277.45
2768400;277.45
2772000;277.45
2775600;277.45
2779200;277.45
2782800;277.45
2786400;277.45
2790000;277.45
2793600;277.45
2797200;277.45
2800800;277.45
2804400;277.55
2808000;277.55
2811600;277.55
2815200;277.55
2818800;277.55
2822400;277.55
2826000;277.55
2829600;277.55
2833200;277.55
2836800;277.55
2840400;277.55
2844000;277.55
2847600;277.55
2851200;277.55
2854800;277.55
2858400;277.55
2862000;277.55
2865600;277.55
2869200;277.55
2872800;277.65
2876400;277.65
2880000;277.65
2883600;277.65
2887200;277.65
2890800;277.65
2894400;277.65
2898000;277.65
2901600;277.65
2905200;277.65
2908800;277.65
2912400;277.65
2916000;277.75
2919600;277.75
2923200;277.75
2926800;277.75
2930400;277.75
2934000;277.75
2937600;277.75
2941200;277.75
2944800;277.75
2948400;277.85
2952000;277.85
2955600;277.85
2959200;277.85
2962800;277.85
2966400;277.85
2970000;277.85
2973600;277.85
2977200;277.85
2980800;277.95
2984400;277.95
2988000;277.95
2991600;277.95
2995200;277.95
2998800;277.95
3002400;277.95
3006000;277.95
3009600;277.95
3013200;278.05
3016800;278.05
3020400;278.05
3024000;278.05
3027600;278.05
3031200;278.05
3034800;278.05
3038400;278.05
3042000;278.05
3045600;278.05
3049200;278.15
3052800;278.15
3056400;278.15
3060000;278.15
3063600;278.15
3067200;278.15
3070800;278.15
3074400;278.15
3078000;278.15
3081600;278.15
3085200;278.15
3088800;278.25
3092400;278.25
3096000;278.25
3099600;278.25
3103200;278.25
3106800;278.25
3110400;278.25
3114000;278.25
3117600;278.25
3121200;278.25
3124800;278.25
3128400;278.35
3132000;278.35
3135600;278.35
3139200;278.35
3142800;278.35
3146400;278.35
3150000;278.35
3153600;278.35
3157200;278.35
3160800;278.35
3164400;278.35
3168000;278.35
3171600;278.35
3175200;278.35
3178800;278.45
3182400;278.45
3186000;278.45
3189600;278.45
3193200;278.45
3196800;278.45
3200400;278.45
3204000;278.45
3207600;278.45
3211200;278.45
3214800;278.45
3218400;278.45
3222000;278.45
3225600;278.45
3229200;278.45
3232800;278.45
3236400;278.45
3240000;278.45
3243600;278.45
3247200;278.45
3250800;278.45
3254400;278.45
3258000;278.45
3261600;278.45
3265200;278.45
3268800;278.45
3272400;278.45
3276000;278.45
3279600;278.45
3283200;278.45
3286800;278.45
3290400;278.45
3294000;278.45
3297600;278.45
3301200;278.45
3304800;278.45
3308400;278.45
3312000;278.45
3315600;278.45
3319200;278.45
3322800;278.45
3326400;278.45
3330000;278.45
3333600;278.45
3337200;278.45
3340800;278.45
3344400;278.45
3348000;278.45
3351600;278.45
3355200;278.45
3358800;278.45
3362400;278.45
3366000;278.45
3369600;278.45
3373200;278.45
3376800;278.45
3380400;278.45
3384000;278.45
3387600;278.45
3391200;278.45
3394800;278.45
3398400;278.45
3402000;278.45
3405600;278.45
3409200;278.35
3412800;278.35
3416400;278.35
3420000;278.35
3423600;278.35
3427200;278.35
3430800;278.35
3434400;278.35
3438000;278.35
3441600;278.35
3445200;278.35
3448800;278.35
3452400;278.35
3456000;278.35
3459600;278.35
3463200;278.35
3466800;278.35
3470400;278.35
3474000;278.35
3477600;278.35
3481200;278.35
3484800;278.35
3488400;278.35
3492000;278.35
3495600;278.35
3499200;278.35
3502800;278.35
3506400;278.35
3510000;278.35
3513600;278.35
3517200;278.35
3520800;278.25
3524400;278.25
3528000;278.25
3531600;278.25
3535200;278.25
3538800;278.25
3542400;278.25
3546000;278.25
3549600;278.25
3553200;278.25
3556800;278.25
3560400;278.25
3564000;278.25
3567600;278.25
3571200;278.25
3574800;278.25
3578400;278.25
3582000;278.25
3585600;278.25
3589200;278.25
3592800;278.25
3596400;278.15
3600000;278.15
3603600;278.15
3607200;278.15
3610800;278.15
3614400;278.15
3618000;278.15
3621600;278.15
3625200;278.15
3628800;278.15
3632400;278.15
3636000;278.15
3639600;278.15
3643200;278.15
3646800;278.15
3650400;278.15
3654000;278.15
3657600;278.15
3661200;278.15
3664800;278.15
3668400;278.15
3672000;278.05
3675600;278.05
3679200;278.05
3682800;278.05
3686400;278.05
3690000;278.05
3693600;278.05
3697200;278.05
3700800;278.05
3704400;278.05
3708000;278.05
3711600;278.05
3715200;278.05
3718800;278.05
3722400;278.05
3726000;278.05
3729600;278.05
3733200;278.05
3736800;278.05
3740400;278.05
3744000;278.05
3747600;278.05
3751200;278.05
3754800;278.05
3758400;278.05
3762000;278.05
3765600;278.05
3769200;278.05
3772800;278.05
3776400;278.05
3780000;278.05
3783600;277.95
3787200;277.95
3790800;277.95
3794400;277.95
3798000;277.95
3801600;277.95
3805200;277.95
3808800;277.95
3812400;277.95
3816000;277.95
3819600;277.95
3823200;277.95
3826800;277.95
3830400;277.95
3834000;277.95
3837600;277.95
3841200;277.95
3844800;277.95
3848400;277.95
3852000;277.95
3855600;277.95
3859200;277.95
3862800;277.95
3866400;277.95
3870000;277.95
3873600;277.95
3877200;277.95
3880800;277.95
3884400;277.95
3888000;277.95
3891600;277.95
3895200;277.95
3898800;277.95
3902400;277.95
3906000;277.95
3909600;277.95
3913200;277.95
3916800;277.95
3920400;277.95
3924000;277.95
3927600;277.95
3931200;277.95
3934800;277.95
3938400;277.95
3942000;277.95
3945600;277.95
3949200;277.95
3952800;277.95
3956400;277.95
3960000;277.95
3963600;277.95
3967200;277.95
3970800;277.95
3974400;277.95
3978000;277.95
3981600;277.95
3985200;277.95
3988800;277.95
3992400;277.95
3996000;277.95
3999600;277.95
4003200;277.95
4006800;277.95
4010400;277.95
4014000;277.95
4017600;277.95
4021200;277.95
4024800;277.95
4028400;277.95
4032000;277.95
4035600;277.95
4039200;277.95
4042800;277.95
4046400;277.95
4050000;277.95
4053600;277.95
4057200;277.95
4060800;277.95
4064400;277.95
4068000;277.95
4071600;277.95
4075200;277.95
4078800;277.95
4082400;277.95
4086000;277.95
4089600;277.95
4093200;277.95
4096800;277.95
4100400;277.95
4104000;277.95
4107600;278.05
4111200;278.05
4114800;278.05
4118400;278.05
4122000;278.05
4125600;278.05
4129200;278.05
4132800;278.05
4136400;278.05
4140000;278.05
4143600;278.05
4147200;278.05
4150800;278.05
4154400;278.05
4158000;278.05
4161600;278.05
4165200;278.05
4168800;278.15
4172400;278.15
4176000;278.15
4179600;278.15
4183200;278.15
4186800;278.15
4190400;278.15
4194000;278.15
4197600;278.15
4201200;278.15
4204800;278.15
4208400;278.15
4212000;278.15
4215600;278.15
4219200;278.25
4222800;278.25
4226400;278.25
4230000;278.25
4233600;278.25
4237200;278.25
4240800;278.25
4244400;278.25
4248000;278.25
4251600;278.25
4255200;278.25
4258800;278.25
4262400;278.25
4266000;278.35
4269600;278.35
4273200;278.35
4276800;278.35
4280400;278.35
4284000;278.35
4287600;278.35
4291200;278.35
4294800;278.35
4298400;278.35
4302000;278.35
4305600;278.35
4309200;278.35
4312800;278.35
4316400;278.35
4320000;278.35
4323600;278.45
4327200;278.45
4330800;278.45
4334400;278.45
4338000;278.45
4341600;278.45
4345200;278.45
4348800;278.45
4352400;278.45
4356000;278.45
4359600;278.45
4363200;278.45
4366800;278.45
4370400;278.45
4374000;278.45
4377600;278.45
4381200;278.45
4384800;278.45
4388400;278.45
4392000;278.45
4395600;278.45
4399200;278.45
4402800;278.45
4406400;278.45
4410000;278.45
4413600;278.45
4417200;278.45
4420800;278.55
4424400;278.55
4428000;278.55
4431600;278.55
4435200;278.55
4438800;278.55
4442400;278.55
4446000;278.55
4449600;278.55
4453200;278.55
4456800;278.55
4460400;278.55
4464000;278.55
4467600;278.55
4471200;278.55
4474800;278.65
4478400;278.65
4482000;278.65
4485600;278.65
